Season,Team,AVG,OBP,SLG,OPS,wOBA,wRC+,RBI,RAR,WAR,Dol
2016,BOS,0.282,0.348,0.461,0.81,0.346,113,836,301.5,30.8,246
2016,COL,0.275,0.336,0.457,0.794,0.339,94,805,209.7,21.4,171
2016,CHC,0.256,0.343,0.429,0.772,0.333,106,767,340.2,34.8,278
2016,DET,0.267,0.331,0.438,0.769,0.33,106,719,197.2,20.2,161
2016,STL,0.255,0.325,0.443,0.768,0.329,105,745,247.6,25.3,202
2016,TOR,0.248,0.33,0.426,0.755,0.327,104,728,231.8,23.7,189
2016,CLE,0.262,0.329,0.43,0.759,0.326,100,733,230.8,23.6,188
2016,BAL,0.256,0.317,0.443,0.76,0.326,103,710,209.2,21.4,171
2016,SEA,0.259,0.326,0.43,0.756,0.325,108,735,228.9,23.4,187
2016,TEX,0.262,0.322,0.433,0.755,0.324,95,746,160.8,16.4,131
2016,WSN,0.256,0.326,0.426,0.751,0.322,96,735,211.3,21.6,172
2016,ARI,0.261,0.32,0.432,0.752,0.321,93,709,165.6,16.9,135
2016,PIT,0.257,0.332,0.402,0.734,0.318,97,696,215.3,22.0,176
2016,MIN,0.251,0.316,0.421,0.738,0.317,95,690,147.7,15.1,120
2016,HOU,0.247,0.319,0.417,0.735,0.317,101,689,243.8,24.9,199
2016,MIL,0.244,0.322,0.407,0.729,0.315,92,641,157.5,16.1,128
2016,NYM,0.246,0.316,0.417,0.733,0.315,99,649,201.8,20.6,165
2016,SFG,0.258,0.329,0.398,0.728,0.315,96,675,230.5,23.6,188
2016,TBR,0.243,0.307,0.426,0.733,0.315,98,647,169.8,17.4,138
2016,LAD,0.249,0.319,0.409,0.728,0.314,97,680,223.1,22.8,182
2016,LAA,0.26,0.322,0.405,0.726,0.314,99,686,171.4,17.5,140
2016,CHW,0.257,0.317,0.41,0.727,0.314,97,656,150.5,15.4,123
2016,CIN,0.256,0.316,0.408,0.724,0.311,89,678,115.9,11.9,94
2016,NYY,0.252,0.314,0.405,0.72,0.311,92,647,147.0,15.0,120
2016,MIA,0.263,0.322,0.394,0.716,0.309,95,626,200.1,20.5,163
2016,KCR,0.261,0.312,0.4,0.712,0.307,89,640,133.0,13.6,108
2016,ATL,0.255,0.321,0.384,0.705,0.304,86,615,119.8,12.2,98
2016,OAK,0.246,0.304,0.395,0.699,0.302,89,634,53.5,5.5,43
2016,SDP,0.235,0.299,0.39,0.689,0.297,84,654,79.9,8.2,65
2016,PHI,0.24,0.301,0.385,0.685,0.296,81,575,73.9,7.6,60
2017,HOU,0.282,0.346,0.478,0.823,0.349,121,854,368.6,36.7,293
2017,CLE,0.263,0.339,0.449,0.788,0.336,105,780,283.8,28.2,226
2017,NYY,0.262,0.339,0.447,0.785,0.336,109,821,294.4,29.3,234
2017,COL,0.273,0.338,0.444,0.781,0.332,88,793,148.9,14.8,118
2017,CHC,0.255,0.338,0.437,0.775,0.331,101,785,270.2,26.9,215
2017,WSN,0.266,0.332,0.449,0.782,0.331,99,796,232.9,23.2,185
2017,LAD,0.249,0.334,0.437,0.771,0.33,104,730,298.3,29.7,237
2017,ARI,0.254,0.329,0.445,0.774,0.329,95,776,222.2,22.1,176
2017,MIN,0.26,0.334,0.434,0.768,0.329,103,781,282.3,28.1,224
2017,STL,0.256,0.334,0.426,0.76,0.326,101,728,251.5,25.0,200
2017,CIN,0.253,0.329,0.433,0.761,0.325,95,715,221.4,22.0,176
2017,MIA,0.267,0.331,0.431,0.761,0.325,101,743,256.7,25.6,204
2017,OAK,0.246,0.319,0.436,0.755,0.323,103,708,170.4,17.0,135
2017,NYM,0.25,0.32,0.434,0.755,0.322,101,713,202.5,20.2,161
2017,TEX,0.244,0.32,0.43,0.75,0.321,90,756,100.5,10.0,80
2017,MIL,0.249,0.322,0.429,0.751,0.321,94,695,224.5,22.3,178
2017,SEA,0.259,0.325,0.424,0.749,0.321,103,714,224.4,22.3,178
2017,DET,0.258,0.324,0.424,0.748,0.321,98,699,124.4,12.4,99
2017,BAL,0.26,0.312,0.435,0.747,0.318,95,713,118.2,11.8,94
2017,BOS,0.258,0.329,0.407,0.736,0.316,91,735,164.4,16.4,130
2017,ATL,0.263,0.326,0.412,0.738,0.316,89,706,143.1,14.2,114
2017,TBR,0.245,0.317,0.422,0.739,0.316,99,671,197.0,19.6,156
2017,CHW,0.256,0.314,0.417,0.731,0.313,95,670,156.0,15.5,124
2017,KCR,0.259,0.311,0.42,0.731,0.312,91,660,129.8,12.9,103
2017,TOR,0.24,0.312,0.412,0.724,0.312,93,661,81.6,8.1,65
2017,PHI,0.25,0.315,0.409,0.723,0.31,87,654,107.8,10.7,85
2017,LAA,0.243,0.315,0.397,0.712,0.307,92,678,166.8,16.6,132
2017,PIT,0.244,0.318,0.386,0.704,0.304,85,635,105.9,10.5,84
2017,SDP,0.234,0.299,0.393,0.692,0.298,82,576,92.7,9.2,73
2017,SFG,0.249,0.309,0.38,0.689,0.296,83,612,85.7,8.5,68
2018,BOS,0.268,0.339,0.453,0.792,0.34,111,829,316.7,32.6,260
2018,NYY,0.249,0.329,0.451,0.781,0.335,112,821,278.5,28.7,229
2018,LAD,0.25,0.333,0.442,0.774,0.333,111,756,338.6,34.9,278
2018,CLE,0.259,0.332,0.434,0.766,0.33,106,786,247.8,25.5,204
2018,OAK,0.252,0.325,0.439,0.764,0.329,112,778,286.3,29.5,235
2018,HOU,0.255,0.329,0.425,0.754,0.327,110,763,317.6,32.7,261
2018,WSN,0.254,0.335,0.419,0.753,0.325,101,737,236.8,24.4,195
2018,COL,0.256,0.322,0.435,0.757,0.325,88,748,142.5,14.7,117
2018,TBR,0.258,0.333,0.406,0.74,0.322,107,664,252.6,26.0,208
2018,MIL,0.252,0.323,0.424,0.747,0.322,100,711,273.2,28.1,225
2018,CHC,0.258,0.333,0.41,0.744,0.321,100,722,248.2,25.6,204
2018,ATL,0.257,0.324,0.417,0.742,0.319,96,717,243.5,25.1,200
2018,TOR,0.244,0.312,0.427,0.739,0.319,100,680,150.7,15.5,124
2018,CIN,0.254,0.328,0.401,0.729,0.317,94,665,164.9,17.0,135
2018,STL,0.249,0.321,0.409,0.73,0.316,99,725,176.7,18.2,145
2018,TEX,0.24,0.318,0.404,0.722,0.315,89,696,92.5,9.5,76
2018,LAA,0.242,0.313,0.413,0.726,0.313,98,690,200.2,20.6,164
2018,MIN,0.25,0.318,0.405,0.723,0.313,96,704,160.4,16.5,132
2018,SEA,0.254,0.314,0.408,0.722,0.313,100,644,188.0,19.4,154
