Season,Team,ERA,WHIP,FIP,RAR,WAR,Dollars
2016,CHC,3.15,1.11,3.77,176.9,18.8,150
2016,WSN,3.52,1.19,3.58,220.1,23.5,188
2016,NYM,3.58,1.27,3.57,198.5,21.5,172
2016,SFG,3.69,1.21,3.76,134.2,14.2,113
2016,LAD,3.7,1.19,3.61,181.1,20.0,159
2016,TOR,3.79,1.23,4.04,162.7,16.8,134
2016,CLE,3.86,1.24,3.91,174.3,18.2,145
2016,SEA,4.0,1.28,4.3,137.8,14.5,115
2016,BOS,4.0,1.27,4.0,179.3,18.8,150
2016,MIA,4.05,1.36,3.97,142.8,15.5,124
2016,HOU,4.06,1.29,3.85,170.5,17.6,140
2016,STL,4.08,1.32,3.88,157.8,16.6,132
2016,MIL,4.1,1.38,4.37,105.1,11.1,88
2016,CHW,4.12,1.34,4.27,157.8,17.1,136
2016,NYY,4.16,1.26,4.2,178.6,18.7,149
2016,TBR,4.2,1.32,4.26,102.7,10.6,84
2016,KCR,4.21,1.35,4.42,115.3,12.1,96
2016,BAL,4.22,1.36,4.31,152.6,15.7,125
2016,PIT,4.22,1.4,4.3,83.3,9.0,71
2016,DET,4.24,1.32,4.16,177.3,18.5,147
2016,LAA,4.28,1.39,4.62,73.8,8.0,63
2016,TEX,4.38,1.37,4.58,118.1,12.6,100
2016,SDP,4.44,1.38,4.4,81.2,8.6,69
2016,ATL,4.51,1.35,4.32,84.3,9.0,72
2016,OAK,4.51,1.34,4.24,128.3,13.7,109
2016,PHI,4.64,1.35,4.34,130.9,13.9,111
2016,CIN,4.91,1.45,5.24,3.3,1.0,7
2016,COL,4.92,1.45,4.38,124.7,13.1,105
2016,MIN,5.09,1.45,4.57,103.6,10.7,85
2016,ARI,5.09,1.49,4.5,96.0,10.1,80
2017,CLE,3.3,1.16,3.33,291.7,30.4,242
2017,LAD,3.38,1.15,3.67,210.7,21.7,173
2017,ARI,3.67,1.27,3.8,221.7,22.9,182
2017,BOS,3.73,1.25,3.78,222.9,23.2,185
2017,NYY,3.75,1.21,3.88,229.3,23.4,187
2017,WSN,3.88,1.24,3.99,216.7,23.0,183
2017,CHC,3.95,1.28,4.2,165.3,16.8,134
2017,TBR,3.99,1.26,4.17,147.7,15.0,119
2017,MIL,4.0,1.34,4.24,161.5,17.1,136
2017,STL,4.01,1.3,4.09,154.3,15.7,125
2017,HOU,4.12,1.27,3.91,185.5,19.0,152
2017,LAA,4.2,1.28,4.43,107.4,11.0,88
2017,PIT,4.23,1.37,4.23,162.0,16.6,132
2017,TOR,4.42,1.37,4.31,162.5,16.6,132
2017,SEA,4.46,1.31,4.7,86.4,9.3,74
2017,SFG,4.5,1.38,4.22,113.7,11.4,91
2017,COL,4.51,1.38,4.32,183.2,18.6,148
2017,PHI,4.57,1.39,4.56,139.5,14.3,114
2017,MIN,4.6,1.37,4.71,86.2,8.9,71
2017,KCR,4.63,1.39,4.43,132.8,13.7,109
2017,OAK,4.67,1.36,4.57,92.4,9.6,76
2017,SDP,4.7,1.38,4.68,75.1,7.9,63
2017,TEX,4.7,1.4,4.88,108.9,11.2,89
2017,ATL,4.72,1.42,4.51,88.8,9.0,71
2017,CHW,4.78,1.42,5.17,38.8,4.4,34
2017,MIA,4.82,1.44,4.69,54.3,5.5,44
2017,BAL,4.97,1.45,4.96,83.8,8.6,68
2017,NYM,5.01,1.49,4.59,80.0,8.7,69
2017,CIN,5.17,1.45,5.08,48.1,5.3,42
2017,DET,5.36,1.5,4.73,112.0,11.5,91
2018,HOU,3.11,1.1,3.23,269.5,28.6,229
2018,LAD,3.4,1.15,3.6,176.0,19.0,151
2018,CHC,3.65,1.31,4.14,133.1,14.1,112
2018,ARI,3.73,1.25,3.91,108.8,12.0,95
2018,MIL,3.73,1.24,4.01,137.4,14.5,115
2018,TBR,3.75,1.2,3.82,165.9,17.4,139
2018,ATL,3.75,1.28,3.99,141.3,15.1,120
2018,BOS,3.75,1.25,3.82,173.5,18.5,148
2018,CLE,3.77,1.2,3.78,198.8,22.0,175
2018,NYY,3.78,1.24,3.63,232.8,24.5,195
2018,OAK,3.82,1.21,4.18,129.9,13.5,107
2018,STL,3.85,1.34,3.97,135.1,14.4,115
2018,SFG,3.95,1.31,3.98,134.5,14.1,112
2018,PIT,4.0,1.31,4.06,140.5,14.9,119
2018,WSN,4.04,1.25,4.15,147.8,16.4,131
2018,NYM,4.07,1.27,3.97,153.5,17.9,142
2018,SEA,4.13,1.24,4.05,156.8,16.5,131
2018,PHI,4.15,1.29,3.83,183.7,19.7,157
2018,LAA,4.15,1.32,4.36,114.2,12.2,97
2018,COL,4.33,1.31,4.06,160.9,17.1,136
2018,SDP,4.41,1.34,4.1,116.7,12.4,99
2018,MIN,4.5,1.38,4.39,108.2,11.4,91
2018,DET,4.6,1.34,4.59,96.9,10.0,80
2018,CIN,4.65,1.4,4.68,82.2,8.7,69
2018,MIA,4.76,1.38,4.57,21.7,2.4,19
2018,CHW,4.85,1.43,4.73,94.7,9.8,78
2018,TOR,4.85,1.41,4.53,81.8,8.5,67
2018,TEX,4.92,1.4,4.79,104.5,10.9,86
2018,KCR,4.95,1.46,4.66,64.8,6.7,53
2018,BAL,5.19,1.5,4.98,68.8,7.1,56
2019,LAD,3.39,1.1,3.73,248.8,25.4,203
2019,HOU,3.66,1.13,3.98,234.5,24.2,193
2019,TBR,3.67,1.17,3.65,244.1,24.5,196
2019,CLE,3.79,1.22,4.06,208.7,21.0,168
2019,STL,3.82,1.27,4.27,149.4,14.9,119
2019,OAK,3.97,1.24,4.34,189.5,18.8,150
2019,CHC,4.1,1.32,4.25,167.3,16.9,135
2019,CIN,4.18,1.26,4.23,197.0,19.8,158
2019,MIN,4.18,1.3,4.03,238.4,23.7,189
